	element	sub_ids	regions	elm_type	stroke	freq2	count2	dep2
7695	䠶	⿰身矢	GTP		12	209.2	1	('䠶', '𣛘', '𣽜', '𧬄', '𪋧')
7696	飪	⿰飠壬	GHTP		12	208.7	1	('飪', '𤏼')
7697	飪	⿰𩙿壬	JK		12	208.7	1	('飪', '𤏼')
7698	萼	⿱艹咢	GHTJK		12	208.2	1	('萼', '𠿸')
7699	萼	⿳艹吅亐	P		12	208.2	1	('萼', '𠿸')
7700	痣	⿸疒志	GHTJKP		12	204.9	1	('痣', '𰤈')
7701	葑	⿱艹封	GHTJKPV		12	203.0	1	('葑', '𣿝')
7702	𪯎	⿰幸攵	G		12	196.0	1	('𪯎', '盩', '𦌙', '𫡊', '𭞫')
7703	稈	⿰禾旱	GHTJKP		12	193.4	1	('稈', '𥳼', '𮑉')
7704	猲	⿰犭曷	GHTJKP		12	181.3	1	('猲', '𤺐')
7705	絛	⿲亻丨⿱夂糸	G		12	174.2	1	('絛', '𦺰', '𮉎', '𮉎')
7706	淼	⿱水沝	GHTJKP		12	265.5	1	('淼', '𡂊', '𡡺', '𣛁', '𣾜', '𨶺')
7707	葺	⿱艹咠	GHTJKP		12	264.9	1	('葺', '𭺃')
7708	葩	⿱艹皅	GHTJKPV		12	257.5	1	('葩', '𡀥')
7709	絢	⿰糹旬	GHT		12	256.1	1	('絢', '𦻖')
7710	絢	⿰糸旬	JKP		12	256.1	1	('絢', '𦻖')
7711	渲	⿰氵宣	GHTJKP		12	255.6	1	('渲', '\U0002edb5')
7712	葶	⿱艹亭	GHTJKP		12	254.7	1	('葶', '𫣦')
7713	扉	⿸户非	GHP		12	252.0666666666667	1	('扉', '𢵞')
7714	扉	⿸戶非	TK		12	252.0666666666667	1	('扉', '𢵞')
7715	扉	⿸戸非	J		12	252.0666666666667	1	('扉', '𢵞')
7716	稌	⿰禾余	GHTJKP		12	251.0	1	('稌', '𦺪')
7717	湮	⿰氵垔	GHTK		12	243.76666666666665	1	('湮', '𭕵')
7718	湮	⿰氵⿱覀土	J		12	243.76666666666665	1	('湮', '𭕵')
7719	湮	⿰氵⿱西土	P		12	243.76666666666665	1	('湮', '𭕵')
7720	窖	⿱穴告	G		12	237.63333333333333	1	('窖', '𡑛', '𣽸', '𨅻', '𨻴', '𪆥', '𫛕', '𱔫')
7721	窖	⿱⿱宀儿吿	HJ		12	237.63333333333333	1	('窖', '𡑛', '𣽸', '𨅻', '𨻴', '𪆥', '𫛕', '𱔫')
7722	删	⿰⿻⿰冂冂一刂	HT		7	1755.9	1	('删', '䈀')
7723	灼	⿰火勺	GHTKPV		7	1676.0	1	('灼', '䓎', '𥭓', '𭴰')
7724	灼	⿰火⿹勹一	J		7	1676.0	1	('灼', '䓎', '𥭓', '𭴰')
